productid,name,fl_drupallongitude,fl_drupallatitude,statecode,fl_drupaltypeemptyspaceconventional,fl_drupaltypemanagedoffice,fl_drupaltypeservicedoffice,fl_drupalservicesfullyfurnished,new_region
b40d8692-d086-e911-a84e-000d3a2b2b9f,Oststraße 54,6.7885744,51.2250544,0,False,False,True,False,Düsseldorf
bd792fb3-d486-e911-a84e-000d3a2b2b9f,Immermannstraße 13,,,2,,,,,Düsseldorf
48fbb7e5-d986-e911-a84e-000d3a2b2b9f,Siliciumweg 69,,,1,,,,,Amersfoort
ee41f5b4-db86-e911-a84e-000d3a2b2b9f,Haarlemmerweg 331,4.8649,52.38507,0,False,False,True,True,Amsterdam
e1b07cea-6287-e911-a84e-000d3a2b2b9f,35 Rue du Docteur Babinski,2.3332056,48.9011345,1,False,False,True,False,Paris
eb677bb4-6487-e911-a84e-000d3a2b2b9f,60 Rue de La Jonquière,2.3218714,48.8939012,0,False,False,True,False,Paris
d6f82548-6687-e911-a84e-000d3a2b2b9f,24 Rue des Epinettes,2.3226558,48.8951685,0,False,False,True,False,Paris
88223e2b-549e-e911-a850-000d3a2b2b9f,Havenweg 21K,,,1,,,,,Amersfoort
795f8f9e-6f9e-e911-a850-000d3a2b2b9f,37-39 Rue de Surène,2.3186548,48.8714146,0,False,False,True,False,Paris
d4a95cd1-40a2-e911-a850-000d3a2b2b9f,Kabelweg 57,,,1,,,,,Amsterdam
a1bb1be4-49a2-e911-a850-000d3a2b2b9f,Friedrich-Ebert-Allee 13,,,1,,,,,Bonn
546b87b6-50a9-e911-a851-000d3a2b2b9f,DE - Address 11,,,0,,,,,Other
7334abbc-50a9-e911-a851-000d3a2b2b9f,DE - Address 12,,,0,,,,,Other
7a34abbc-50a9-e911-a851-000d3a2b2b9f,DE - Address 13,,,0,,,,,Other
8034abbc-50a9-e911-a851-000d3a2b2b9f,DE - Address 14,,,0,,,,,Other
61d6b2c2-50a9-e911-a851-000d3a2b2b9f,DE - Address 15,,,0,,,,,Other
a102a693-54a9-e911-a851-000d3a2b2b9f,FR - Address 16,,,0,,,,,Other
b202a693-54a9-e911-a851-000d3a2b2b9f,FR - Address 17,,,0,,,,,Other
d902a693-54a9-e911-a851-000d3a2b2b9f,FR - Address 18,,,0,,,,,Other
e902a693-54a9-e911-a851-000d3a2b2b9f,FR - Address 19,,,0,,,,,Other
e439a599-54a9-e911-a851-000d3a2b2b9f,FR - Address 20,,,0,,,,,Other
21f7617f-3cb4-e911-a852-000d3a2b2b9f,Willemsplein 2-3-4,,,1,,,,,Arnhem
4a68d521-45b4-e911-a852-000d3a2b2b9f,Belgicastraat 17,44.576.849,508.783.772,0,True,False,False,False,Zaventem
0531df51-4cb4-e911-a852-000d3a2b2b9f,Rue Guimard 9,4.3695172,50.8436645,0,False,False,True,False,Brussel
08c86784-53b4-e911-a852-000d3a2b2b9f,Robert Schumanplein 2-4A,,,1,,,,,Brussel
1381bbe6-5fb4-e911-a852-000d3a2b2b9f,Avenue Arnaud Fraiteur 15-23b,4.3964314,50.8170139,0,True,False,False,False,Ixelles
055673d3-62b4-e911-a852-000d3a2b2b9f,Cantersteen 47,4.3581997,50.8456646,0,False,False,True,False,Brussels
99832a74-68b4-e911-a852-000d3a2b2b9f,Boulevard Roi Albert II 30,4.357712,50.8620326,0,True,False,False,False,Brussels
5df93697-6ab4-e911-a852-000d3a2b2b9f,Kouterveldstraat 20,,,1,,,,,Diegem
66b192fb-6fb4-e911-a852-000d3a2b2b9f,De Werf 15,,,1,,,,,Den Haag
25f16bcb-51b8-e911-a852-000d3a2b2b9f,Froissartstraat 95,,,1,,,,,Brussel
6f94aacd-5fb8-e911-a852-000d3a2b2b9f,347 Rue Saint-Martin,2.3547548,48.8683476,0,False,False,True,True,Paris
5cc3a10c-e9cf-e911-a853-000d3a2b2b9f,Danzigerkade 3D,,,1,,,,,Amsterdam
4c326707-efcf-e911-a853-000d3a2b2b9f,Sint Jorissteeg 2,,,1,,,,,Amsterdam
9f441058-94d4-e911-a853-000d3a2b2b9f,Alfons Gossetlaan 40,,,1,,,,,Brussel
e4b0a147-0b85-e811-a841-000d3a2b2ba3,Gooimeer 5,,,1,,,,,Naarden
8564c154-d6ca-e811-a849-000d3a2b2ba3,Spekstraat 8,,,1,,,,,Den Haag
671ef409-70cc-e811-a849-000d3a2b2ba3,Aalsmeerweg 133,,,1,,,,,Amsterdam
d9af9cf9-33d8-e811-a84c-000d3a2b2ba3,Fred. Roeskestraat 115,4.858677,52.3406297,0,False,False,True,True,Amsterdam
e70c1da0-45d8-e811-a84c-000d3a2b2ba3,Anthony Fokkerweg 61,,,1,,,,,Amsterdam
7f225bde-14e8-e811-a84d-000d3a2b2ba3,Praunheimer Landstraße 32,8.6252613,50.1358464,1,False,True,False,False,Frankfurt
00991416-19e8-e811-a84d-000d3a2b2ba3,Sprendlinger Landstraße 180,8.7463199,50.0849074,1,True,True,False,False,Offenbach
923b54ad-1de8-e811-a84d-000d3a2b2ba3,Stresemannallee 4,67.049.943,511.932.545,1,True,True,True,False,Neuss
bdb89597-21e8-e811-a84d-000d3a2b2ba3,Großbeerenstraße 2-10,13.3772938,52.4388038,1,True,True,True,False,Berlin
378bf18c-26e8-e811-a84d-000d3a2b2ba3,Bretonischer Ring 4-6a,11.7625364,48.1008652,1,True,True,False,False,Grasbrunn
6f266311-c6e8-e811-a84d-000d3a2b2ba3,Bethmannstraße 8,8.6788463,50.1104022,0,False,False,True,False,Frankfurt
e3d3bdbd-c6e8-e811-a84d-000d3a2b2ba3,Darmstädter Landstraße 116,8.6897938,50.094715,0,False,False,True,False,Frankfurt
25d3dccc-c6e8-e811-a84d-000d3a2b2ba3,Hahnstraße 68-70,8.63322,50.07941,0,False,False,True,False,Frankfurt
f0a9edec-d9e8-e811-a84d-000d3a2b2ba3,Broederminstraat 9,,,1,,,,,Antwerpen
acbcb1fd-d2eb-e811-a84d-000d3a2b2ba3,Josef-Schappe-Straße 21,68.642.748,512.946.967,0,False,False,True,False,Ratingen
1f663422-0d02-e911-a84f-000d3a2b2ba3,Brussels Airport 1K,44.854.439,50.895.678,0,False,False,True,False,Zaventem
030221aa-e543-e911-a852-000d3a2b2ba3,Disketteweg 19,,,1,,,,,Amsterdam
5ed10168-0344-e911-a852-000d3a2b2ba3,Schootsestraat 14,,,1,,,,,Eindhoven
7827b197-0844-e911-a852-000d3a2b2ba3,Torenallee 20,,,1,,,,,Eindhoven
dd954182-0e44-e911-a852-000d3a2b2ba3,Frederiklaan 10E,,,1,,,,,Eindhoven
379063ae-cf44-e911-a852-000d3a2b2ba3,Don Boscostraat 4,,,1,,,,,Eindhoven
92c90f9e-8845-e911-a852-000d3a2b2ba3,Meirbrug 1,44.047.771,512.187.982,0,False,False,True,False,Antwerp
6b3bc3f3-4146-e911-a852-000d3a2b2ba3,Hussitenstraße 32,13.3830634,52.5417039,0,False,False,True,True,Berlin
80eac6ec-8349-e911-a852-000d3a2b2ba3,Vleutensevaart 100,5.0818918,52.0948354,0,True,False,False,False,Utrecht
0379d633-9449-e911-a852-000d3a2b2ba3,Wetstraat 51,,,1,,,,,Brussel
30de95d4-9c49-e911-a852-000d3a2b2ba3,Lage Mosten 37,,,1,,,,,Breda
532c2bcc-2b4a-e911-a852-000d3a2b2ba3,Pilotenstraat 39A,,,1,,,,,Amsterdam
912d5ac6-9371-e911-a855-000d3a2b2ba3,Amstelboulevard 184,,,1,,,,,Amsterdam
a8737a8f-a271-e911-a855-000d3a2b2ba3,Fellenoord 130,,,1,,,,,Eindhoven
cc99af14-3672-e911-a855-000d3a2b2ba3,Burgemeester de Hesselleplein 31,,,1,,,,,Heerlen
cdee8aa0-5572-e911-a855-000d3a2b2ba3,30 Rue de Gramont,2.3371374,48.8712105,0,False,False,True,False,Paris
9cd27e10-5772-e911-a855-000d3a2b2ba3,18 Rue d'Hauteville,2.3500933,48.8720216,0,False,False,True,False,Paris
421d8fbe-5975-e911-a855-000d3a2b2ba3,Koninginnegracht 62,4.3100571,52.0915722,0,False,True,False,False,The Hague
3c6b35c6-7b75-e911-a855-000d3a2b2ba3,Hoedemakerstraat 30,,,1,,,,,Zwijndrecht
506afdf1-8175-e911-a855-000d3a2b2ba3,Keurmeesterstraat 22-24,,,1,,,,,Ridderkerk
4ffcc576-8875-e911-a855-000d3a2b2ba3,Stephensonsweg 6-8,,,1,,,,,Gorinchem
94eb1761-9275-e911-a855-000d3a2b2ba3,Kerkenbos 11,57.880.463,51.826.792,1,False,False,True,False,Nijmegen
87a60e4f-9475-e911-a855-000d3a2b2ba3,Ouddeelstraat 7A,,,1,,,,,Leeuwarden
515641d8-e876-e911-a855-000d3a2b2ba3,Boulevard Saint-Lazare 4,4.3618836,50.8564622,0,False,False,True,False,Saint-Josse-ten-Noode
e1a4abdd-e485-e911-a855-000d3a2b2ba3,89 Rue Réaumur,2.3470265,48.8673291,1,False,False,True,True,Paris
ca5e8649-e785-e911-a855-000d3a2b2ba3,19 Rue Michel le Comte,2.355601,48.8623026,0,False,False,True,True,Paris
5595e37a-f488-e911-a855-000d3a2b2ba3,73 Cours Albert Thomas,48.678.826,457.469.104,0,False,False,True,False,Lyon
f80a6557-b098-e911-a857-000d3a2b2ba3,36 Rue de Saint-Pétersbourg,2.326515,48.8827488,1,False,False,True,True,Paris
5f1a17bb-b298-e911-a857-000d3a2b2ba3,24 Rue Cambacérès,2.318334,48.8736091,0,False,False,True,True,Paris
423dd927-b398-e911-a857-000d3a2b2ba3,Belziger Strasse 69-71,13.34649,52.48458,0,False,False,True,False,Berlin
5a7e1a00-b598-e911-a857-000d3a2b2ba3,12 Rue de la Bourse,2.3392214,48.8697322,1,False,False,True,True,Paris
3cb76771-b598-e911-a857-000d3a2b2ba3,Feurigstrasse 51,13.3537444,52.4830574,0,False,False,True,False,Berlin
a77da987-b698-e911-a857-000d3a2b2ba3,93 Boulevard Haussmann,2.3186929,48.8747075,0,False,False,True,False,Paris
66eaeef7-bb98-e911-a857-000d3a2b2ba3,15 Rue de Vanves,,,1,,,,,Boulogne-Billancourt
dc9a519d-bd98-e911-a857-000d3a2b2ba3,10 Quai de la Charente,2.3835276,48.8974305,1,False,False,True,False,Paris
699143de-c198-e911-a857-000d3a2b2ba3,30 Allées de Tourny,-5.766.572,448.438.721,0,False,False,True,False,bordeaux
5f44563c-c698-e911-a857-000d3a2b2ba3,Gluckstraße 57,10.0455431,53.5743377,0,False,False,True,False,Hamburg
ef0d4adb-d598-e911-a857-000d3a2b2ba3,Weteringschans 98,,,1,,,,,Amsterdam
0fc31863-de98-e911-a857-000d3a2b2ba3,Greifswalder Straße 226,13.4254277,52.5300336,0,False,False,True,False,Berlin
cfc72aa6-e498-e911-a857-000d3a2b2ba3,Seidlstraße 5,11.55586,48.1430721,1,False,False,True,False,Munich
bc0e8ea7-ec98-e911-a857-000d3a2b2ba3,Eschelsweg 4,9.9465627,53.5498805,0,False,False,True,False,Hamburg
68bbc90e-7599-e911-a857-000d3a2b2ba3,Atealaan 34,,,1,,,,,Herentals
f0b9f985-7599-e911-a857-000d3a2b2ba3,Rue des Poissonniers 13,4.3482394,50.8492711,0,False,False,True,False,Brussels
0953f3d2-7599-e911-a857-000d3a2b2ba3,Luxemburgstraat 20,41.865.446,511.433.799,0,False,False,True,False,Temse
a9815a1a-7799-e911-a857-000d3a2b2ba3,Boulevard de France 9,,,0,,,,,Braine-L'Alleud
38ed8587-7899-e911-a857-000d3a2b2ba3,Stationsplein 7,41.440.991,511.716.076,1,False,False,True,False,Sint-Niklaas
18bd5ccd-7899-e911-a857-000d3a2b2ba3,Avenue Herrmann-Debroux 54,4.4339606,50.8137248,0,False,False,True,False,Auderghem
3430c845-8299-e911-a857-000d3a2b2ba3,293 Boulevard Saint-Denis,22.751.167,489.031.011,0,False,False,True,False,Courbevoie
8fc65db2-d0a3-e911-a857-000d3a2b2ba3,Nassaulaan 13,,,1,,,,,Den Haag
0d25ac41-e6a6-e911-a857-000d3a2b2ba3,Vossiusstraat 2,,,1,,,,,Amsterdam
8f160617-ffa6-e911-a857-000d3a2b2ba3,Rijnzathe 12,5.0462405,52.0725503,0,True,True,True,False,Utrecht
a8888a75-20aa-e911-a859-000d3a2b2ba3,Adolphe Lacomblélaan 69-71,,,1,,,,,Schaerbeek
75e1cfa1-27aa-e911-a859-000d3a2b2ba3,20 Rue de la Pierre Levée,,,1,,,,,Paris
5827b710-d6ae-e911-a85a-000d3a2b2ba3,Antwerpsesteenweg 58A,,,1,,,,,Aartselaar
4abbdfc9-daae-e911-a85a-000d3a2b2ba3,Avenue Louise 326,4.368949,50.8231928,0,False,False,True,False,Brussels
d6c2e261-2ace-e911-a85d-000d3a2b2ba3,1e Hogeweg 198,,,1,,,,,Zeist
52c5e463-0fd6-e911-a85d-000d3a2b2ba3,Rietveldenweg 43,5.2708184,51.7040045,1,True,False,False,False,'s-Hertogenbosch
dc9c1b7d-1f81-e811-a839-000d3a2b2be0,Prinsenwaard 10-16,4.4777326,51.9244201,0,True,True,False,False,Rotterdam
d4eec886-5dac-e811-a83d-000d3a2b2be0,Tinstraat 3,47.200.703,516.087.869,1,False,True,False,False,Breda
13bda807-1dad-e811-a83e-000d3a2b2be0,Wilhelminasingel 114,,,1,,,,,Maastricht
976f89bb-1db0-e811-a83e-000d3a2b2be0,Waterigeweg 1,,,1,,,,,Zeist
